date,ID,conditions,action,ohm,Eapplied,sub_dir,CV,CA,UV
220512,220423F,cross cell CA 50mAcm2 +UVvis  +Mn7,add60uMMn7@0hr,21.5,3365,220512 34ml Mn7 from start 60uM and UVvis 220423F\,004CV.CSV,005CA 50mAcm2 Mn7 from start 60uM.CSV,220512 50mAcm2 Mn7 start every30min_1.txt;220512 50mAcm2 Mn7 start every30min_2.txt
220517,220512C,cross cell CA 50mAcm2 +UVvis ,control,17.2,3705,220517 Mn7 CA control 50mAcm2 with UVvis 220512C\,002CV.CSV,003CA 50mAcm2 control.CSV,220517 50mAcm2 control every1hr.txt
220520,220512E,cross cell CA 50mAcm2 +UVvis  +Mn7,add100uM@0hr,18.4,3860,220520 Mn7 100uM from start UVvis 220512E\,003CV.CSV,007CA 50mAcm2 Mn7 from start 100uM.CSV,220520 50mAcm2 Mn7 start 100uM every1hr.txt
220525,220512F,cross cell CA 50mAcm2 +UVvis  +Mn7,add60uM@0hr,18.1,3854,220525 Mn7 60uM from start UVVis 220512F\,003CV.CSV,004CA Mn7 start 60uM.CSV,220525 50mAcm2 Mn7 start 60uM every1hr.txt
220602,220525D,control 50mAcm2,control,17.1,3240,220602 34ml control UVvis SideA RE3\,002CV.CSV,003CA 50mAcm2 control SideA RE3 UVVis.CSV,220602 control 50mAcm2 every 1hr.txt
220622,220620B,control 50mAcm2,control,16.7,3225,220622 34ml control with UVvis SideA RE3\,002CV.CSV,003CA 50mAcm2 sideA RE3 with UVvis.CSV,220622 control 50mAcm2 every1hr.txt
220627,220620E,control 50mAcm2,control,19.4,3340,220627 34ml control with UVvus SideA RE3\,002CV.CSV,003CA control 50mAcm2 with UVvis sideA RE3.CSV,220627 control 50mAcm2 every1hr.txt
220905,220829F,every1hr 50mAcm2,add60uMMn7@16hr,18.2,3387,220905 60uM Mn7 16hrs insideUVvis SideA RE3 with UVvis\,002CV.CSV,003CA 50mAcm2 60uM Mn7 at 16hrs RE3 Side A with UVvis.CSV,220905 50mAcm2 60uM Mn7 16hrs every1hr.txt
220929,220909B,85mAcm2 UVvis every 30min,control,,,220929 CA 85mAcm2 UVvis every 30min el220909B\,002CV.CSV,003CA 85mAcm2.CSV,220929 CA 85mAcm2 UVvis every 30min.txt
220930,220909C,40mAcm2 UVvis every 1hr,control,,,220930 CA 40mAcm2 UVvis every 1hr el220909C\,002CV.CSV,003CA 40mAcm2 with UVvis every 1hr.CSV,220930 CA 40mAcm2 UVvis every1hr.txt
221004,220909D,65mAcm2 Uvvis every 30min,control,,,221004 CA 65mAcm2 UVvis every 30min el220909D\,002CV.CSV,004CA 65mAcm2 UVvis every 30min.CSV,221004 CA 65mAcm2 UVvis every30min.txt
221011,220909E,45mAcm2 Uvvis every 1hr,control,,,221011 CA 45mAcm2 UVvis every 1hr el220909E\,002CV.CSV,005CA 45mAcm2 UVvis every 1hr.CSV,221011 CA 45mAcm2 UVvis every1hr el220909E.txt
221014,220909F,55mAcm2 Uvvis every 1hr,control,,,221014 CA 55mAcm2 UVvis every 1hr el220909F\,002CV.CSV,003CA 55mAcm2 UVvis every1hr el220909F.CSV,221014 CA 55mAcm2 UVvis every 1hr el220909F_UV.txt
221111,221111A,50mAcm2 UVvis every1hr,125mMPi,,,221111 CA 125mM Pi 50mAcm2 UVvis every1hr el221111A\,002CV.CSV,003CA 50mAcm2 125mM Pi UVvis1hr.CSV,221111 CA 125mMPi 50mAcm2 UVvis every1hr.txt
221114,221111B,65mAcm2 Uvvis every1hr,125mMPi,,,221114 CA 125mM Pi 65mAcm2 UVvis every1hr el221111B\,002CV.CSV,003CA 125mM Pi 65mAcm2 UVvis every1hr.CSV,221114 CA 125mMPi 65mAcm2 UVvis every1hr.txt
230209,230209A,50mAcm2 +P UVvis every 1hr,50mMPi_50mAcm2,,,230209 CA 50mM Pi 50mAcm2 UVvis every1hr el230209A\,002CV.CSV,003CA 50mAcm2 50mMPi UVvis every 1hr.CSV,CA 50mAcm2 50mM Pi every 1hr.txt
230213,230209B,50mAcm2 +P UVVis every 1hr,75mMPi_50mAcm2,,,230213 CA 75mM Pi 50mAcm2 UVvis every1hr el230209B\,002CV.CSV,003CA 50mAcm2 75mM Pi UVvis.CSV,CA 50mAcm2 75mM Pi every 1hr.txt
230215,230209C,50mAcm2 +P Uvvis every 1hr,25mMPi_50mAcm2,,,230215 CA 100mM Pi 50mAcm2 UVvis every1hr el230209C\,002CV.CSV,003CA 100mM Pi 50mAcm2 UVvis every1hr.CSV,CA 50mAcm2 100mM Pi every 1hr.txt
230228,230209F,50mAcm2 +P Uvvis every 1hr,25mMPi_50mAcm2,,,230228 CA 25mM Pi 50mAcm2 UVvis every 1hr el 230209F\,002CV.CSV,003CA 25mMPi 50mAcm2 UVvis every 1hr.CSV,CA 50mAcm2 25mM Pi every 1hr.txt
230302,230302A,50mAcm2+P Uvvis every 90min,250mMPi_50mAcm2,,,230302 CA 250mM Pi 50mAcm2 UVvis every1hr30 el230302A\,002CV.CSV,003CA 250mMPi 50mAcm2 UVvis every 1hr30min.CSV,CA 50mAcm2 250mM Pi every 1hr30.txt
230307,230302C,50mAcm2+P UVVis every 1hr,25mMPi_50mAcm2,,,230307 CA 25mM Pi 50mAcm2 UVvis every1hr el230302C\,002CV.CSV,003CA 25mMPi 50mAcm2 UVvis every 1hr.CSV,CA 50mAcm2 25mM Pi every 1hr.txt
